Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,49900,50400,49800,50300,50300,4406531
2019-10-22,50800,51500,50700,51200,51200,10898729
2019-10-23,51300,51500,50800,51200,51200,8663880
2019-10-24,52500,52500,50500,50700,50700,21185785
2019-10-25,50800,51200,50500,50900,50900,7879897
2019-10-28,50700,51500,50700,51300,51300,6431522
2019-10-29,51400,51700,50800,51100,51100,7581629
2019-10-30,50700,50800,50200,50400,50400,8959435
2019-10-31,51000,51400,50300,50400,50400,10304777
2019-11-01,50600,51200,50400,51200,51200,8467846
2019-11-04,51700,52300,51400,52300,52300,13012411
2019-11-05,52400,52700,52100,52700,52700,10581034
2019-11-06,52900,53500,52700,53300,53300,14361133
2019-11-07,53400,53400,52400,52900,52900,9257116
2019-11-08,53200,53300,52000,52100,52100,11603290
2019-11-11,52200,52200,51400,51600,51600,8185952
2019-11-12,51800,52600,51600,52600,52600,6576148
2019-11-13,52500,52500,52000,52500,52500,6225196
2019-11-15,52900,53700,52600,53700,53700,9703360
2019-11-18,53600,53800,53200,53500,53500,7746554
2019-11-19,53200,53500,52700,53500,53500,8907177
2019-11-20,53400,53400,52000,52000,52000,12560070
2019-11-21,51600,52100,50600,51000,51000,14298646
2019-11-22,51000,51600,50900,51600,51600,8478310
2019-11-25,52200,52600,51700,51800,51800,9050625
2019-11-26,51900,52900,51800,51800,51800,27372226
2019-11-27,51800,52300,51600,52200,52200,7546261
2019-11-28,51900,52100,51300,51300,51300,6833885
2019-11-29,51200,51400,50200,50300,50300,11179334
2019-12-02,50900,51300,50400,50400,50400,18877252
2019-12-03,49800,50300,49500,49900,49900,12059812
2019-12-04,49600,49850,49000,49450,49450,13246549
2019-12-05,50200,50400,49500,49500,49500,10449715
2019-12-06,50100,50900,49950,50400,50400,11414563
2019-12-09,50900,51400,50700,51200,51200,8470627
2019-12-10,51000,51600,50700,51500,51500,6882771
2019-12-11,51500,52200,51400,51900,51900,11379521
2019-12-12,53000,53300,52700,53300,53300,29178697
2019-12-13,54500,54800,53900,54700,54700,18120261
2019-12-16,54500,54900,54300,54700,54700,11512405
2019-12-17,55800,56700,55400,56700,56700,19358433
2019-12-18,56700,57200,56000,56300,56300,15558208
2019-12-19,57000,57300,55500,56000,56000,14180520
2019-12-20,56100,56500,55600,56000,56000,12095519
2019-12-23,56100,56400,55100,55500,55500,9839252
2019-12-24,55600,55700,54800,55000,55000,11868463
2019-12-26,54700,55400,54400,55400,55400,9645034
2019-12-27,55700,56900,55500,56500,56500,12313056
2019-12-30,56200,56600,55700,55800,55800,8356767
2020-01-02,55500,56000,55000,55200,55200,12993228
2020-01-03,56000,56600,54900,55500,55500,15422255
2020-01-06,54900,55600,54600,55500,55500,10278951
2020-01-07,55700,56400,55600,55800,55800,10009778
2020-01-08,56200,57400,55900,56800,56800,23501171
2020-01-09,58400,58600,57400,58600,58600,24102579
2020-01-10,58800,59700,58300,59500,59500,16000170
2020-01-13,59600,60000,59100,60000,60000,11359139
2020-01-14,60400,61000,59900,60000,60000,16906295
2020-01-15,59500,59600,58900,59000,59000,14300928
2020-01-16,59100,60700,59000,60700,60700,14381774
2020-01-17,61900,62000,61000,61300,61300,16025661
2020-01-20,62000,62800,61700,62400,62400,12528855
2020-01-21,62000,62400,61200,61400,61400,11142693
2020-01-22,60500,62600,60400,62300,62300,15339565
2020-01-23,61800,61800,60700,60800,60800,14916555
2020-01-28,59400,59400,58300,58800,58800,23664541
2020-01-29,59100,59700,58800,59100,59100,16446102
2020-01-30,58800,58800,56800,57200,57200,20821939
2020-01-31,57800,58400,56400,56400,56400,19749457
2020-02-03,55500,57400,55200,57200,57200,23995260
2020-02-04,57100,59000,56800,58900,58900,21800192
2020-02-05,60000,60200,58900,59500,59500,19278165
2020-02-06,60100,61100,59700,61100,61100,14727159
2020-02-07,61100,61200,59700,60400,60400,16402493
2020-02-10,59200,59800,59100,59700,59700,13107121
2020-02-11,59800,60700,59700,59900,59900,11071231
2020-02-12,60300,60700,59700,60500,60500,12904207
2020-02-13,61200,61600,60500,60700,60700,18449775
2020-02-14,60900,61900,60200,61800,61800,13276067
2020-02-17,61600,62000,61200,61500,61500,8740596
2020-02-18,60800,60900,59700,59800,59800,16674266
2020-02-19,59800,60400,59400,60200,60200,12951496
2020-02-20,60700,61300,59600,60000,60000,14591924
2020-02-21,58800,59800,58500,59200,59200,13777393
2020-02-24,57400,58100,56800,56800,56800,25627537
2020-02-25,56200,58000,56200,57900,57900,23885408
2020-02-26,56000,57000,56000,56500,56500,25483102
2020-02-27,56300,56900,55500,55900,55900,23209541
2020-02-28,55000,55500,54200,54200,54200,30054227
2020-03-02,54300,55500,53600,55000,55000,30403412
2020-03-03,56700,56900,55100,55400,55400,30330295
2020-03-04,54800,57600,54600,57400,57400,24765728
2020-03-05,57600,58000,56700,57800,57800,21698990
2020-03-06,56500,57200,56200,56500,56500,18716656
2020-03-09,56500,56500,56500,56500,56500,0
2020-03-10,53800,54900,53700,54600,54600,32106554
2020-03-11,54300,54400,52000,52100,52100,45707281
2020-03-12,52100,52100,52100,52100,52100,0
2020-03-13,47450,51600,46850,49950,49950,59462933
2020-03-16,50100,50900,48800,48900,48900,33339821
2020-03-17,46900,49650,46700,47300,47300,51218151
2020-03-18,47750,48350,45600,45600,45600,40152623
2020-03-19,46400,46650,42300,42950,42950,56925513
2020-03-20,44150,45500,43550,45400,45400,49730008
2020-03-23,42600,43550,42400,42500,42500,41701626
2020-03-24,43850,46950,43050,46950,46950,49801908
2020-03-25,48950,49600,47150,48650,48650,52735922
2020-03-26,49000,49300,47700,47800,47800,42185129
2020-03-27,49600,49700,46850,48300,48300,39896178
2020-03-30,47050,48350,46550,47850,47850,26797395
2020-03-31,48000,48500,47150,47750,47750,30654261
2020-04-01,47450,47900,45800,45800,45800,27259532
2020-04-02,46200,46850,45350,46800,46800,21621076
2020-04-03,47400,47600,46550,47000,47000,22784682
2020-04-06,47500,48800,47250,48700,48700,23395726
2020-04-07,49650,50200,49000,49600,49600,31524034
2020-04-08,49600,49750,48600,48600,48600,25010314
2020-04-09,49750,49800,48700,49100,49100,22628058
2020-04-10,48950,49250,48650,49250,49250,17839111
2020-04-13,48650,48900,48300,48300,48300,14431800
2020-04-14,48800,49200,48300,49000,49000,14206216
2020-04-16,49350,49350,48550,49000,49000,23349760
2020-04-17,50800,52000,50300,51400,51400,32041675
2020-04-20,51400,51400,50000,50100,50100,21866354
2020-04-21,49400,49700,48700,49250,49250,27407543
2020-04-22,48700,50000,48350,49850,49850,18613864
2020-04-23,50200,50300,49500,49850,49850,18754442
2020-04-24,49650,49750,49000,49350,49350,15618347
2020-04-27,49350,50000,49100,49850,49850,14049471
2020-04-28,49850,50100,49300,50100,50100,16095399
2020-04-29,49900,50500,49600,50000,50000,15604533
2020-05-04,48900,49100,48500,48500,48500,26083749
2020-05-06,49000,49200,48500,49200,49200,18070225
2020-05-07,49200,49300,48700,48800,48800,13884411
2020-05-08,49100,49350,48800,48800,48800,15319700
2020-05-11,48900,49250,48300,48400,48400,16357743
2020-05-12,48400,48500,47550,47900,47900,23433590
2020-05-13,47250,48550,47200,48550,48550,20223277
2020-05-14,47750,48100,47650,48000,48000,19305974
2020-05-15,48400,48450,47700,47850,47850,18463118
2020-05-18,47950,49100,47600,48800,48800,20481981
2020-05-19,50100,50500,49700,50300,50300,25168295
2020-05-20,50000,50200,49800,50000,50000,14896899
2020-05-21,50300,50400,49850,49950,49950,14949266
2020-05-22,49600,49800,48600,48750,48750,19706284
2020-05-25,48750,48900,48450,48850,48850,14337913
2020-05-26,48700,49450,48600,49250,49250,15127490
2020-05-27,48950,50000,48800,49900,49900,19548479
2020-05-28,51100,51200,49900,50400,50400,31309318
2020-05-29,50000,50700,49700,50700,50700,27596961
2020-06-01,50800,51200,50600,51200,51200,16949183
2020-06-02,51000,51500,50800,51400,51400,14247933
2020-06-03,51800,55000,51700,54500,54500,49257814
2020-06-04,55800,57000,54600,54600,54600,40220334
2020-06-05,54400,55900,54000,55500,55500,22743629
2020-06-08,56400,56500,54700,54900,54900,25634965
2020-06-09,55800,56500,54400,55500,55500,23998831
2020-06-10,55100,55900,54900,55400,55400,16742493
2020-06-11,54500,55100,53200,54300,54300,33815123
2020-06-12,52100,52800,51500,52300,52300,26976019
2020-06-15,51400,52000,49900,49900,49900,28772921
2020-06-16,51200,52100,50600,52100,52100,21808375
2020-06-17,52100,52900,51300,52200,52200,26672595
2020-06-18,52200,52300,51600,52300,52300,15982926
2020-06-19,52600,52900,51600,52900,52900,18157985
2020-06-22,52000,52600,51800,52000,52000,13801350
2020-06-23,52500,52800,51100,51400,51400,18086152
2020-06-24,51900,53900,51600,52900,52900,24519552
2020-06-25,52100,53000,51900,51900,51900,18541624
2020-06-26,52800,53900,52200,53300,53300,21575360
2020-06-29,52500,53200,52000,52400,52400,17776925
2020-06-30,53900,53900,52800,52800,52800,21157172
2020-07-01,53400,53600,52400,52600,52600,16706143
2020-07-02,52100,52900,52100,52900,52900,14142583
2020-07-03,53000,53600,52700,53600,53600,11887868
2020-07-06,54000,55000,53800,55000,55000,19856623
2020-07-07,55800,55900,53400,53400,53400,30760032
2020-07-08,53600,53900,52900,53000,53000,19664652
2020-07-09,53200,53600,52800,52800,52800,17054850
2020-07-10,53100,53200,52300,52700,52700,13714746
2020-07-13,53300,53800,53100,53400,53400,12240188
2020-07-14,53700,53800,53200,53800,53800,14269484
2020-07-15,54400,55000,54300,54700,54700,24051450
2020-07-16,54800,54800,53800,53800,53800,16779127
2020-07-17,54200,54700,54100,54400,54400,10096174
2020-07-20,54800,54800,54000,54200,54200,10507530
2020-07-21,55200,55400,54800,55300,55300,18297260
2020-07-22,55300,55500,54700,54700,54700,12885057
2020-07-23,54700,54700,53800,54100,54100,16214932
2020-07-24,54000,54400,53700,54200,54200,10994535
2020-07-27,54300,55700,54300,55600,55600,21054421
2020-07-28,57000,58800,56400,58600,58600,48431566
2020-07-29,60300,60400,58600,59000,59000,36476611
2020-07-30,59700,60100,59000,59000,59000,19285354
2020-07-31,59500,59600,57700,57900,57900,21943345
2020-08-03,57800,57900,56700,56800,56800,21158940
2020-08-04,57200,58100,57000,57300,57300,19419694
2020-08-05,57300,57500,56300,56900,56900,17739706
2020-08-06,57100,58400,57100,58000,58000,21625874
2020-08-07,57900,58400,57100,57500,57500,18751717
2020-08-10,57600,58300,57500,57800,57800,17774291
2020-08-11,58000,59500,57800,58200,58200,24907912
2020-08-12,58200,59000,57700,59000,59000,18573934
2020-08-13,59400,59600,58000,58700,58700,22089460
2020-08-14,58000,58400,57700,58000,58000,15672548
2020-08-18,58900,59900,58000,58400,58400,25307825
2020-08-19,59000,59200,57800,57800,57800,16930719
2020-08-20,57600,57600,55300,55400,55400,30386029
2020-08-21,56200,56900,55800,55900,55900,21142288
2020-08-24,55800,56600,55400,56100,56100,15055896
2020-08-25,56400,56800,56100,56400,56400,14021705
2020-08-26,56400,56500,55700,56400,56400,17651593
2020-08-27,56300,56300,55600,55600,55600,16196568
2020-08-28,56100,56300,55400,55400,55400,14619888
2020-08-31,56000,56100,54000,54000,54000,32671367
2020-09-01,54100,54800,54100,54200,54200,19363117
2020-09-02,54600,55100,54100,54400,54400,16905723
2020-09-03,55600,56700,55500,56400,56400,28384920
2020-09-04,55200,55800,55100,55600,55600,22139109
2020-09-07,56100,57300,55800,56500,56500,18685880
2020-09-08,57400,58700,57200,58700,58700,31517520
2020-09-09,58200,59300,57800,58400,58400,30597399
2020-09-10,59900,60000,59100,59200,59200,29923293
2020-09-11,59300,59400,58200,59000,59000,16017098
2020-09-14,60200,60800,59900,60400,60400,20648281
2020-09-15,60900,61000,60500,61000,61000,17787753
